Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
3953|MOLDURA JC R09|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3954|MOLDURA JC R10|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3955|MOLDURA JC R11 2.20|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3957|MOLDURA JC 006|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3958|MOLDURAS MARFIM 13-011|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3959|MOLDURAS MARFIM 13-017|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3960|MOLDURAS MARFIM 13-026|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3961|MOLDURAS MARFIM 134-25 X 8|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3962|MOLDURAS MARFIM 134-50 X 10|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3963|MOLDURAS MARFIM 134-70 X 12|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3964|MOLDURAS MARFIM 139-16 X 9|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3965|MOLDURAS MARFIM 139-23 X 13|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3966|MOLDURAS MARFIM 139-33 X 20|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3967|MOLDURAS MARFIM 140-100 X 15|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3968|MOLDURAS MARFIM 146-26 X 6|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3969|MOLDURAS MARFIM 148-26 X 13|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3970|MOLDURAS MARFIM 149-32 X 11|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3971|MOLDURAS MARFIM 149-47 X 16|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3972|MOLDURAS MARFIM 2-60 X 14|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3973|MOLDURAS MARFIM 22-20 X 8|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3974|MOLDURAS MARFIM 22-25 X 9|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3975|MOLDURAS MARFIM 22-40 X 15|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3976|MOLDURAS MARFIM 23-10 X 4|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3977|MOLDURAS MARFIM 29-29 X 6|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3978|MOLDURAS MARFIM 29-50 X 6|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3979|MOLDURAS MARFIM 45-21 X 9|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3980|MOLDURAS MARFIM 52-100 X 15|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3981|MOLDURAS MARFIM 53-51 X 5|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3982|MOLDURAS MARFIM 61-50 X 6|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3983|MOLDURAS MARFIM 64-89 X 40|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
