CHAVE GRIFO 10'' LOTUS|5286|UN|15.2000|38.4000|54.2000|0.0000|5.0000
ALICATE UNIVERSAL CRV 8''|5170|UN|13.0900|26.5000|27.3600|0.0000|-1.0000
ESTILETE RETRATIL 18MM EMBORRACHADO|7898338092803|UN|6.6100|18.5000|27.9800|0.0000|9.0000
LÂMINA DE ESTILETE UNID|63210U|UN|0.8000|1.6000|8.4800|0.0000|50.0000
TRINCHA 3/4 ATLAS|39534|UN|1.1100|2.8000|2.0800|0.0000|17.0000
TRINCHA 1'' ATLAS|3951|UN|1.6600|3.8000|2.5000|0.0000|32.0000
TRINCHA 1 1/2'' ATLAS|395112|UN|2.1900|4.7000|3.4600|0.0000|16.0000
TRINCHA 2 1/2'' ATLAS|395212|UN|3.6000|7.9000|0.0100|0.0000|18.0000
MARTELO DE UNHA CABO MADEIRA STANLEY  23CM|7896525010|UN|10.2800|20.6000|20.5600|0.0000|-1.0000
REBITADOR PROFISSIONAL JOMARCA|2000006851727|UN|0.0100|50.0000|0.0100|0.0000|-4.0000
REBITADOR 9.1/2|7899206117246|UN|11.0600|38.9000|17.0200|0.0000|5.0000
BOTÃO  ROSCA INTERNA C/ 4 UNID.|12800|UN|4.7200|12.0000|9.4400|0.0000|-2.0000
SUPORTE DE PRATILEIRA MEIA CANA HAFELE|2000005101755|UN|0.0100|0.2500|0.0100|0.0000|-4.0000
PINO DE PRATILEIRA PLÁSTICO SACO C/ 100 UNID.|2000000061771|UN|2.0000|5.0000|3.0000|0.0000|9879.0000
SILICONE PARA ESPELHO POWERFER 320G|7898940713912|UN|12.5600|25.9000|27.5600|0.0000|24.0000
ROLO DE ESPUMA 9CM ATLAS|7896380140299|UN|2.3900|4.9000|3.3400|0.0000|14.0000
FELTRO REDONDO PRETO 35MM CARTELA C/ 8 UNID.|58000000|UN|3.2500|7.5000|15.4400|0.0000|0.0000
PONTA P/ PARAFUSADEIRA PH1  IRWIN|2000000911816|UN|0.0100|2.3000|0.0100|0.0000|1975.0000
PONTA P/ PARAFUSADEIRA PH2  IRWIN|2000000021829|UN|0.0100|2.3000|0.0100|0.0000|1927.0000
PONTA P/ PARAFUSADEIRA PH3  IRWIN|2000001001837|UN|0.0100|2.3000|0.0100|0.0000|100000.0000
CHAVE TESTE 100-250V BESTFER|5531|UN|1.8200|6.0000|5.0400|0.0000|38.0000
PREGO C/CABEÇA 18X30 SACO C/ 100 PÇS RAYCO|7898338095521|UN|7.3300|15.9000|0.0100|0.0000|10.0000
PREGO C/CABEÇA 13X18 C/100 PÇS|4220|UN|0.0100|3.8000|0.0100|0.0000|960.0000
PÉ NIVELADOR 5/16X1'' C/ 4 UNID.|4594|UN|2.0400|17.0000|0.0100|0.0000|25.0000
PONTEIRA 7/8|P78|UN|0.5800|1.5000|1.0200|0.0000|32.0000
ABRAÇADEIRA PARA LÂMPADA|1293|UN|0.7000|1.5000|0.8000|0.0000|30.0000
ABRAÇADEIRA DE NYLON 3.5X200 C/ 50 PÇS BRANCA MEC-TRONIC|7899639230536|UN|0.0600|8.9000|0.0100|0.0000|1.0000
ABRAÇADEIRA DE NYLON 3.5X280 BRANCA C/50 PÇS MEC-TRONIC|7899639230550|UN|4.7000|9.5000|0.2000|0.0000|0.0000
ABRAÇADEIRA DE NYLON 7.6X300 UNID|76300U|UN|0.5400|1.5000|0.0100|0.0000|8.0000
TRINCO GANGORRA UNID.|282U|UN|2.8300|7.6000|5.6600|0.0000|9.0000
AMORTECEDOR CINZA|2000005731952|UN|0.0100|3.7500|0.0100|0.0000|-1.0000
AMORTECEDOR BRANCO|2000005731969|UN|0.0100|3.7500|0.0100|0.0000|10.0000
FECHADURA GRAZIA EXTERNA ROSETA QUADRADA TACO DE GOLFE AT|740E33455AT|UN|31.6500|51.6500|63.3000|0.0000|1.0000
CONJUNTO DE BROCA AÇO RÁPIDO IRWIN|2000004081980|UN|0.0100|80.4000|0.0100|0.0000|0.0000
CONJUNTO DE BROCA P/ CONCRETO IRWIN|2000001731994|UN|0.0100|37.1000|0.0100|0.0000|5.0000
FECHADURA GRAZIA INTERNA TACO DE GOLFE AT|713I334AT|UN|27.4000|44.7000|54.8000|0.0000|3.0000
MAÇANETA ALAVANCA COM QUADRADINHO AT|7899476946539|UN|19.4900|31.8000|38.9800|0.0000|3.0000
MAÇANETA ALAVANCA COM FURINHO AT|7899476948137|UN|19.4900|31.8000|38.9800|0.0000|1.0000
BUCHA COM ANEL|2000005002038|UN|0.0100|7.5000|0.0100|0.0000|20.0000
BUCHA COM ANEL 08MM 50 UNID.|BA8|UN|0.1300|13.5000|0.0100|0.0000|4.0000
