JD. AMERICA|RIO DE JANEIRO|90.00
JD. ANHANGÁ|CAXIAS|110.00
JD. CRAMACHO A/WL|CAXIAS|45.00
JD. DAS OLIEIRAS|CAXIAS|65.00
JD. DO IPÊ|BELFORD ROXO|95.00
JD. GLAUCIA|BELFORD ROXO|90.00
JD. GRAMACHO D/WL|CAXIAS|50.00
JD. IRIS|DUQUE DE CAXIAS|85.00
JD. ITAIPU|BELFORD ROXO|125.00
JD. LEAL|CAXIAS|65.00
JD. METRIPOLIS|SÃO JOÃO|80.00
JD. NOVA CALIFÓRNIA|CAXIAS|80.00
JD. PARAISO|DUQUE DE CAXIAS|85.00
JD. PATRICIA|BELFORD ROXO|80.00
JD. SULACAP|RIO DE JANEIRO|140.00
JD. VILA NOVA|CAXIAS|65.00
JD. VISTA ALEGRE|RIO DE JANEIRO|85.00
JD.BELA FLORESTA|MAGÉ|190.00
JD.BOTANICO |RIO DE JANEIRO|140.00
JD.CARIOCA(ILHA)|RIO DE JANEIRO|115.00
REALENGO|RIO DE JANEIRO|120.00
RECREIO DOS BANDEIRANTE|RIO DE JANEIRO|195.00
REDENTOR|BELFORD ROXO|90.00
RIACHUELO|RIO DE JANEIRO|115.00
RIO COMPRIDO|RIO DE JANEIRO|115.00
RIO DAS OSTRAS|CENTRO|610.00
RIO DAS PEDRAS JACARÉPAG.|RIO DE JANEIRO|165.00
RIO DE JANEIRO|CENTRO|115.00
ROCHA MIRANDA|RIO DE JANEIRO|105.00
ROCHA SOBRINHO|RIO DE JANEIRO|115.00
SANTA LÚCIA|RIO DE JANEIRO|115.00
SANTO ANTONIO DE PÁDOA|CENTRO|780.00
SÃO BENTO|CAXIAS|65.00
SÃO CRISTOVÃO|RIO DE JANEIRO|115.00
SÃO FRANCISCO|NITERÓI|175.00
SÃO GONÇALO CENTRO|SÃO GONÇALO|160.00
SÃO JOÃO DE MERITTI|CENTRO|100.00
SÃO JUDAS TADEU|CAXIAS|85.00
SÃO LEOPOLDO |BELFORD ROXO|100.00
SÃO LOURENÇO|CAXIAS|85.00
SÃO PEDRO DA ALDEIA|CENTRO|560.00
SAQUAREMA|CENTRO|500.00
SARACURUNA |CAXIAS|100.00
SARAPUI|CAXIAS|40.00
SEROPÉDICA|RIO DE JANEIRO|210.00
SILVA JARDIM|CENTRO|450.00
STA. THEREZA|BELFORD ROXO|85.00
STA.CRUZ DA SERRA|CAXIAS|80.00
STO. ALEXO|MAGÉ|230.00
STO. CRISTO|RIO DE JANEIRO|115.00
SUMARE|BELFORD ROXO|80.00
SURUI|MAGÉ|190.00
TAQUARA|RIO DE JANEIRO|135.00
TAQUARA|RIO DE JANEIRO|155.00
TERESÓPOLIS|CENTRO|290.00
TIJUCA|RIO DE JANEIRO|125.00
TRÊS RIOS |CENTRO|390.00
TRES SETAS|BELFORD ROXO|115.00
VALE DO IPE|BELFORD ROXO|105.00
VALE MANGUEIRA|BELFORD ROXO|110.00
VALENÇA|VALENÇA|500.00
VASCO|BELFORD ROXO|90.00
VENDA VELHA|SÃO JOÃO|100.00
VIGARIO GERAL|RIO DE JANEIRO|85.00
VILA CAETANO|CAXIAS|60.00
VILA CANAAN|CAXIAS|105.00
VILA DA PENHA|RIO DE JANEIRO|100.00
VILA DO GUEDES|DUQUE DE CAXIAS|85.00
VILA EMIL|MESQUITA|115.00
VILA GUANABARA|CAXIAS|60.00
VILA IDEAL|CAXIAS|75.00
VILA ISABEL|RIO DE JANEIRO|115.00
VILA MARIA HELENA |CAXIAS|100.00
VILA OPERARIA|CAXIAS|70.00
VILA PAULINE |BELFORD ROXO|100.00
VILA ROSÁRIO|CAXIAS|70.00
VILA SANTA TEREZA|BELFORD ROXO|85.00
VILA SANTO ANTONIO|CAXIAS|70.00
VILA SÃO LUIZ|CAXIAS|50.00
VILA URUSSAI|CAXIAS|100.00
VILAR DOS TELES|SÃO JOÃO|105.00
VISTA ALEGRE|RIO DE JANEIRO|90.00
VOLTA REDONDA|CENTRO|400.00
XAVANTE|BELFORD ROXO|110.00
XEREM|CAXIAS|100.00
