   260/8 - 2 TOMADAS (CLARIS)                                 |       4- |11.66|12.83|14|11.66
   239/4 - 2 TOMADAS (LUNARE)                                 |17|16.22|17.84|19.5|16.22
  2126/5 - 2 TOMADAS PADR 10A BR                              |6|8.82|9.7|10.6|8.82
  2129/6 - 2 TOMADAS PADR 20A BR                              |2|8.65|9.52|10.4|8.65
  1867/8 - 2005                                               |1|42.23|46.45|50.7|42.23
  2175/3 - 2006 LANTERNA DE PAREDE OXIDADA                    |9|49|53.9|58.8|49
  2176/0 - 2006 LANTERNA DE TETO OXIDADA                      |21|49|53.9|58.8|49
  2174/6 - 2007 BALIZADOR DE TETO OU JARDIM                   |20|42|46.2|50.4|42
  2067/1 - 2158 TOR PIA C-44P                                 |2|41.62|45.78|49.9|41.62
  2069/5 - 2162 TOR PIA 1/4 C-44                              |3|96.12|105.73|115.3|96.12
  2075/6 - 2195 TOR LAV 1/4 C-43G                             |       7- |96.11|105.72|115.3|96.11
   256/1 - 3 INT. SIMPLES (CLARIS)                            |6|11.68|12.85|14|11.68
   269/1 - 3 INT. SIMPLES (LUNARE)                            |10|18.91|20.8|22.7|18.91
  2121/0 - 3 INTERRUPTORES SIMPLES C/PL 4X2                   |       2- |7.92|8.71|9.5|7.92
  5369/3 - 3 TOMADAS PADRAO 2P+T 10A C/P EV FAME              |13|15.97|17.57|19.2|15.97
  2054/1 - 4001 TORN PIA CLASS C-32                           |      10- |101.42|111.56|121.7|101.42
  4858/3 - 4001 TORN PIA CLASS C31                            |6|154.59|170.05|185.5|154.59
  2061/9 - 4002 TORN LAV B BAIXA C-31                         |       3- |116.75|128.43|140.1|116.75
  2059/6 - 4003 TORN LAVAT B ALTA C-34                        |       7- |170.54|187.59|204.7|170.54
  2060/2 - 4059 TORN LAVAT B ALTA C-31                        |       1- |161.06|177.17|193.3|161.06
  2010/7 - 4060 KIT BANHEIRO TUBO 5PCS                        |0|213.63|234.99|256.4|213.63
  2265/1 - 4068 PORTA SHAMPO TUBO VIDRO 12MM-40CM             |2|127.07|139.33|152.5|127.07
  6740/9 - 6676 TELA DE PROTECAO BRANCA 3M                    |0|7.9|8.69|9.48|7.9
  1400/7 - 720 CHURRASQUEIRA BAFO PEQ.                        |1|162.99|179.29|195.6|162.99
   837/2 - 837                                                |0|0|0|0|0
  7611/1 - A-002 CAIXA CORREIO POPULAR 15X23X11 P/ MURO       |10|27.9|30.69|33.48|27.9
  4641/1 - A-003 CAIXA CORREIO POPULAR 20X23X11 MURO          |1|28.62|31.48|34.3|28.62
  1646/9 - A-007 CAIXA CORREIO POPULAR P/ GRADE 20X23X11      |9|33.84|37.22|40.61|33.84
  4637/4 - A-009 CAIXA CORREIO COLONIAL 12X20X10 GRADE        |2|36.9|40.59|44.3|36.9
  7622/7 - A-009 CAIXA CORREIO COLONIAL 12x20x10 P/MURO       |0|41.99|46.19|50.38|41.99
  4638/1 - A-011 CAIXA CORREIO COLONIAL P/GRADE 12X20X10      |8|43.38|47.72|52.06|43.38
  4639/8 - A-012 CAIXA CORREIO TIJOLINHO 20X25X12 MURO        |0|40.5|44.55|48.6|40.5
  7613/5 - A-013 CAIXA CORREIO TIJOLINHO 15X25X12 P/MURO      |13|51.65|56.81|61.98|51.65
  4642/8 - A-017 CAIXA CORREIO COLONIAL 15X25X12 MURO         |       2- |41.58|45.74|49.9|41.58
  7612/8 - A-019 CAIXA CORREIO COLONIAL CARTAS 15X25X12       |20|51.65|56.81|61.98|51.65
  4650/3 - A-023 CAIXA CORREIO CARTEIRO 15X25X12 MURO         |0|41.58|45.74|49.9|41.58
  7620/3 - A-025 CAIXA CORREIO CARTEIRO 15X25X12 P/ MURO      |       2- |51.65|56.81|61.98|51.65
  4652/7 - A-029 CAIXA CORREIO CHINESA 15X25X12 MURO          |0|41.58|45.74|49.9|41.58
  7614/2 - A-031 CAIXA CORREIO CHINESA 15X25X12 P/MURO        |19|51.65|56.81|61.98|51.65
  4653/4 - A-039 CAIXA CORREIO JORNAL 25X36X16 MURO           |16|99.9|109.89|119.88|99.9
  6851/2 - A-043 CAIXA CORREIO ROMANA 20X18X24 MURO           |10|75.9|83.49|91.08|75.9
  4655/8 - A-045 CAIXA CORREIO VILA-RICA 15X23X31 MURO        |1|83.34|91.67|100|83.34
  4656/5 - A-046 CAIXA CORREIO VILA-RICA 20X23X31 MURO        |1|86.76|95.44|104.1|86.76
  7615/9 - A-048 CAIXA CORREIO VILA RICA 20X23X31 P/MURO      |4|119.7|131.67|143.64|119.7
  7616/6 - A-052 CAIXA CORREIA IMPERIAL 20X40X26 P/ MURO      |5|142.5|156.75|171|142.5
  4636/7 - A-059 CAIXA CORREIO COLONIAL-POP 12X23X11 MUR      |1|22.32|24.55|26.8|22.32
  4648/0 - A-069 CAIXA CORREIO POMBINHO 15X25X12 MURO         |1|38.34|42.17|46|38.34
  4649/7 - A-071 CAIXA CORREIO POMBINHO 20X25X12 MURO         |4|53.9|59.29|64.68|53.9
  4645/9 - A-075 CAIXA CORREIO GREGA 15X25X12 MURO            |0|38.34|42.17|46|38.34
  4646/6 - A-076 CAIXA CORREIO GREGA 20X25X12 MURO            |       1- |50.4|55.44|60.48|50.4
  7624/1 - A-077 CAIXA CORREIO GREGA 20X25X12 P/ MURO         |11|59.99|65.98|71.98|59.99
  4643/5 - A-081 CAIXA CORREIO LIZ 15X25X12 MURO              |       7- |41.58|45.74|49.9|41.58
  4644/2 - A-082 CAIXA CORREIO LIZ 20X25X12 MURO              |19|51.66|56.83|61.99|51.66
  4651/0 - A-087 CAIXA CORREIO POMBO 15X25X12 MURO            |2|41.58|45.74|49.9|41.58
  7610/4 - A-088 CAIXA DE CORREIO POMBO P/ MURO               |19|51.65|56.81|61.98|51.65
  4654/1 - A-094 CAIXA CORREIO TIJOLINHO 20X25X30 MURO        |1|66.24|72.86|79.5|66.24
  4640/4 - A-107 CAIXA CORREIO POPULAR 15X23X11 MURO          |      14- |21.6|23.76|25.9|21.6
  4863/7 - A-108 CAIXA DE CORREIO POPULAR INOX 15X23X11       |14|27.9|30.69|33.5|27.9
  4864/4 - A-109 CAIXA DE CORREIO POPULAR INOX 20X23X11       |28|35.9|39.49|43.08|35.9
  7618/0 - A-114 CAIXA CORREIO POPULAR JORNAL INOX 25X36      |       1- |69.9|76.89|83.88|69.9
  4647/3 - A-115 CAIXA CORREIO ATLANTA 15X25X12 MURO          |1|40.86|44.95|49|40.86
  7623/4 - A-116 CAIXA CORREIO ATLANTA 15X25X12 P/ MURO       |5|59.99|65.98|71.98|59.99
  3120/2 - ABRAC.MAXTOR 1/2X3/4                               |     133- |1.14|1.26|1.4|1.14
  3119/6 - ABRAC.MAXTOR 3/8X1/2                               |      57- |1.5|1.65|1.8|1.5
  3118/9 - ABRAC.MAXTOR 5/16X3/8                              |     312- |0.99|1.09|1.2|0.99
  3121/9 - ABRAC.MAXTOR 5/8X3/4                               |239|1.48|1.62|1.8|1.48
  4616/9 - ABRACADEIRA 1 1/2X2                                |9|3.9|4.29|4.7|3.9
  4614/5 - ABRACADEIRA 1/2X5/8                                |     189- |1.5|1.65|1.8|1.5
  4615/2 - ABRACADEIRA 1X1 1/2                                |       4- |3.48|3.82|4.2|3.48
  4618/3 - ABRACADEIRA 2 1/2X3                                |       3- |4.78|5.25|5.75|4.78
  4617/6 - ABRACADEIRA 2X2 1/2                                |40|4.25|4.68|5.1|4.25
  3638/2 - ABRACADEIRA 3 1/2X4                                |22|5.45|6|6.5|5.45
  3632/0 - ABRACADEIRA 3/4X1                                  |538|1.56|1.7|1.9|1.56
  3637/5 - ABRACADEIRA 3X3 1/2                                |44|5.05|5.56|6.1|5.05
  2759/5 - ABRACADEIRA 5/8X3/4                                |108|1.48|1.63|1.8|1.48
  3428/9 - ABRACADEIRA ANTENA UNIV                            |252|3.2|3.52|3.8|3.2
  5305/1 - ABRACADEIRA BR 100X2,5                             |     507- |0.07|0.08|0.1|0.07
  5304/4 - ABRACADEIRA BR 140X3,5                             |     330- |0.12|0.13|0.1|0.12
  5471/3 - ABRACADEIRA BRANCA 200X3,5                         |   9.489- |0.17|0.19|0.2|0.17
  5583/3 - ABRACADEIRA BRANCA 300X3,6 BRANCA                  |     371- |0.3|0.33|0.36|0.3
  5474/4 - ABRACADEIRA BRANCA 370X7,0                         |1004|0.7|0.77|0.8|0.7
  3636/8 - ABRACADEIRA BRANCA T10 25X3,6                      |1280|0.22|0.23|0.3|0.22
  4466/0 - ABRACADEIRA BRANCA T14 35X4,8                      |743|0.42|0.46|0.5|0.42
  2758/8 - ABRACADEIRA BRANCA T6 15CMX3,2MM                   |   1.101- |0.12|0.14|0.1|0.12
   378/0 - ABRACADEIRA COPO 1                                 |      58- |1.99|2.19|2.39|1.99
   376/6 - ABRACADEIRA COPO 1 1/2                             |2934|3.45|3.8|4.1|3.45
   380/3 - ABRACADEIRA COPO 1 1/4                             |      19- |2.96|3.25|3.6|2.96
   375/9 - ABRACADEIRA COPO 1/2                               |28|2.17|2.38|2.6|2.17
  3391/6 - ABRACADEIRA COPO 2                                 |55|2.77|3.05|3.3|2.77
  1775/6 - ABRACADEIRA COPO 3/4                               |     235- |2|2.2|2.4|2
  2138/8 - ABRACADEIRA NYLON BR 200X3,5                       |3193|0.21|0.22|0.3|0.21
  6951/9 - ABRACADEIRA NYLON FOXLUX BR 280X4,8                |1000|0.28|0.3|0.33|0.28
  7773/6 - ABRACADEIRA NYLON GUEPAR 2,5X100                   |       4- |0.05|0.06|0.07|0.05
  7772/9 - ABRACADEIRA NYLON GUEPAR 3,6X200                   |     125- |0.12|0.13|0.14|0.12
  4541/4 - ABRACADEIRA NYLON PR 100X2,5                       |1072|0.06|0.06|0.1|0.06
  2139/5 - ABRACADEIRA NYLON PR 140X3,50                      |1345|0.13|0.14|0.2|0.13
  4542/1 - ABRACADEIRA NYLON PR 200X3,5                       |1578|0.17|0.19|0.2|0.17
  7771/2 - ABRACADEIRA NYLON PR GUEPAR 3,6X200                |     452- |0.12|0.13|0.14|0.12
  7770/5 - ABRACADEIRA NYLON PR GUEPAR 7,6X400                |2253|0.65|0.71|0.78|0.65
  4219/2 - ABRACADEIRA P/LAMPADA FLUORESCENTE                 |43|1.78|1.97|2.18|1.78
  5473/7 - ABRACADEIRA PRETA 200X4,8                          |   1.736- |0.25|0.28|0.3|0.25
  5472/0 - ABRACADEIRA PRETA 370X7,0                          |     247- |0.7|0.77|0.8|0.7
  5584/0 - ABRACADEIRA PRETA 540X12,7                         |1192|2.9|3.19|3.5|2.9
  3635/1 - ABRACADEIRA PRETA T10 25X3,6                       |1032|0.22|0.23|0.3|0.22
  3634/4 - ABRACADEIRA PRETA T14 35CM                         |902|0.35|0.39|0.4|0.35
  3633/7 - ABRACADEIRA PRETA T6 15X3,2                        |808|0.1|0.11|0.1|0.1
  7677/7 - ABRACADEIRA ROSCA S/FIM 1/2X3/4 9MM                |3|1.75|1.92|2.1|1.75
  6896/3 - ABRACADEIRA ROSCA S/FIM 2 3/8X3 1/8 9MM            |60|2.3|2.53|2.76|2.3
  7678/4 - ABRACADEIRA ROSCA S/FIM 5/8X1 9MM                  |2|1.85|2.03|2.22|1.85
  2496/9 - ABRACADEIRA U 1                                    |      22- |0.8|0.88|1|0.8
  2509/6 - ABRACADEIRA U 1 1/2                                |117|1.5|1.65|1.8|1.5
  2513/3 - ABRACADEIRA U 1 1/4                                |19|0.87|0.97|1|0.87
  3376/3 - ABRACADEIRA U 1/2                                  |     181- |0.67|0.74|0.8|0.67
  1428/1 - ABRACADEIRA U 100                                  |     161- |3.44|3.78|4.1|3.44
  2514/0 - ABRACADEIRA U 2                                    |25|1.23|1.35|1.46|1.23
  2500/3 - ABRACADEIRA U 3                                    |      20- |2|2.2|2.4|2
  7446/9 - ABRACADEIRA U 3 1/2                                |9|22.38|24.62|26.86|22.38
  2502/7 - ABRACADEIRA U 3/4                                  |     238- |0.6|0.66|0.72|0.6
  2504/1 - ABRACADEIRA U 4                                    |     135- |3.23|3.55|3.9|3.23
  1426/7 - ABRACADEIRA U 50                                   |      25- |1.5|1.65|1.8|1.5
