  1874/6 - 2 INTERRUPTORES SIMPLES C/PL 4X2                   |0|5.73|6.3|6.9|5.73|6.41|6.41
  5372/3 - 2 TOM PAD 2P+T 10A EV FAME                         |13|20.44|22.48|24.5|20.44|0|0
  5373/0 - 2 TOM PAD 2P+T 20A EV FAME                         |1|20.44|22.48|24.5|20.44|0|0
   260/8 - 2 TOMADAS (CLARIS)                                 |0|11.66|12.83|14|11.66|0|0
   239/4 - 2 TOMADAS (LUNARE)                                 |17|16.22|17.84|19.5|16.22|0|0
  2126/5 - 2 TOMADAS PADR 10A BR                              |6|8.82|9.7|10.6|8.82|8.82|8.82
  2129/6 - 2 TOMADAS PADR 20A BR                              |2|8.65|9.52|10.4|8.65|9.61|9.61
  1867/8 - 2005                                               |1|42.23|46.45|50.7|42.23|0|0
  2175/3 - 2006 LANTERNA DE PAREDE OXIDADA                    |9|49|53.9|58.8|49|0|0
  2176/0 - 2006 LANTERNA DE TETO OXIDADA                      |21|49|53.9|58.8|49|0|0
  2174/6 - 2007 BALIZADOR DE TETO OU JARDIM                   |20|42|46.2|50.4|42|0|0
  2067/1 - 2158 TOR PIA C-44P                                 |2|41.62|45.78|49.9|41.62|0|0
  2069/5 - 2162 TOR PIA 1/4 C-44                              |3|96.12|105.73|115.3|96.12|0|0
  2075/6 - 2195 TOR LAV 1/4 C-43G                             |       7- |96.11|105.72|115.3|96.11|0|0
   256/1 - 3 INT. SIMPLES (CLARIS)                            |8|11.68|12.85|14|11.68|0|0
   269/1 - 3 INT. SIMPLES (LUNARE)                            |10|18.91|20.8|22.7|18.91|0|0
  2121/0 - 3 INTERRUPTORES SIMPLES C/PL 4X2                   |       2- |7.92|8.71|9.5|7.92|8.8|8.8
  5369/3 - 3 TOMADAS PADRAO 2P+T 10A C/P EV FAME              |13|15.97|17.57|19.2|15.97|0|0
  2054/1 - 4001 TORN PIA CLASS C-32                           |      10- |101.42|111.56|121.7|101.42|0|0
  4858/3 - 4001 TORN PIA CLASS C31                            |6|154.59|170.05|185.5|154.59|0|0
  2061/9 - 4002 TORN LAV B BAIXA C-31                         |       3- |116.75|128.43|140.1|116.75|0|0
  2059/6 - 4003 TORN LAVAT B ALTA C-34                        |       7- |170.54|187.59|204.7|170.54|0|0
  2060/2 - 4059 TORN LAVAT B ALTA C-31                        |       1- |161.06|177.17|193.3|161.06|0|0
  2010/7 - 4060 KIT BANHEIRO TUBO 5PCS                        |0|213.63|234.99|256.4|213.63|0|0
  2265/1 - 4068 PORTA SHAMPO TUBO VIDRO 12MM-40CM             |2|127.07|139.33|152.5|127.07|0|0
  6740/9 - 6676 TELA DE PROTECAO BRANCA 3M                    |0|7.9|8.69|9.48|7.9|0|0
  1400/7 - 720 CHURRASQUEIRA BAFO PEQ.                        |1|162.99|179.29|195.6|162.99|0|0
   837/2 - 837                                                |     160- |0|0|0|0|0|0
  7611/1 - A-002 CAIXA CORREIO POPULAR 15X23X11 P/ MURO       |15|27.9|30.69|33.48|27.9|0|0
  4641/1 - A-003 CAIXA CORREIO POPULAR 20X23X11 MURO          |2|28.62|31.48|34.3|28.62|0|0
  1646/9 - A-007 CAIXA CORREIO POPULAR P/ GRADE 20X23X11      |9|33.84|37.22|40.61|33.84|0|0
  4637/4 - A-009 CAIXA CORREIO COLONIAL 12X20X10 GRADE        |6|36.9|40.59|44.3|36.9|0|0
  7622/7 - A-009 CAIXA CORREIO COLONIAL 12x20x10 P/MURO       |0|41.99|46.19|50.38|41.99|0|0
  4638/1 - A-011 CAIXA CORREIO COLONIAL P/GRADE 12X20X10      |13|43.38|47.72|52.06|43.38|0|0
  4639/8 - A-012 CAIXA CORREIO TIJOLINHO 20X25X12 MURO        |0|40.5|44.55|48.6|40.5|0|0
  7613/5 - A-013 CAIXA CORREIO TIJOLINHO 15X25X12 P/MURO      |20|51.65|56.81|61.98|51.65|0|0
  4642/8 - A-017 CAIXA CORREIO COLONIAL 15X25X12 MURO         |       2- |41.58|45.74|49.9|41.58|0|0
  7612/8 - A-019 CAIXA CORREIO COLONIAL CARTAS 15X25X12       |20|51.65|56.81|61.98|51.65|0|0
  4650/3 - A-023 CAIXA CORREIO CARTEIRO 15X25X12 MURO         |0|41.58|45.74|49.9|41.58|0|0
  7620/3 - A-025 CAIXA CORREIO CARTEIRO 15X25X12 P/ MURO      |0|51.65|56.81|61.98|51.65|0|0
  4652/7 - A-029 CAIXA CORREIO CHINESA 15X25X12 MURO          |0|41.58|45.74|49.9|41.58|0|0
