codigo,descricao,preco
00000000000171,COMP.VIROLA BRANCA (PARICA) 2200 X 15MM,109.900,LUBERPLAC
00000000000172,COMP.VIROLA BRANCA (PARICA) 2200 X 18MM,134.900,LUBERPLAC
7890100002676,COMP.VIROLA EXTRA G13 04MM,51.900,G13
7890100000603,COMP.VIROLA EXTRA G13 06MM,64.900,G13
7890100000610,COMP.VIROLA EXTRA G13 10MM,92.900,G13
7890100000627,COMP.VIROLA EXTRA G13 15MM,124.900,G13
7890100002829,COMP.VIROLA EXTRA G13 18MM,149.900,G13
7890100000245,COMP.VIROLA EXTRA G13 20MM,168.900,G13
00000000000103,COMP.VIROLA EXTRA G13 2500 X 18MM,159.000,G13
7890100000269,COMP.VIROLA EXTRA G13 25MM,214.900,G13
7890100000511,COMP.VIROLA ROSA(CURUPICHA) 2200 X 04MM,59.900,
7890100000528,COMP.VIROLA ROSA(CURUPICHA) 2200 X 06MM,76.900,
7890100000535,COMP.VIROLA ROSA(CURUPICHA) 2200 X 10MM,106.900,
7890100000375,COMP.VIROLA ROSA(CURUPICHA) 2200 X 15MM,144.900,
7890100000542,COMP.VIROLA ROSA(CURUPICHA) 2200 X 18MM,179.900,
7890100001273,COMP.VIROLA ROSA(CURUPICHA) 2750 X 04MM,99.000,.
00000000000286,CONTROLADOR DIG.TEMP.INMES MDH368N-90-240VCA-P299 THOLZ,485.000,INMES
00000000000075,CONTROLADOR UNIVERSAL INMES UC-03 (SECCIONADORA),"1,136.110",INMES
7890100000900,CORTE EM CHAPA,1.950,
7890100000832,DESEMP.2CV TRIF 2P220/380V DSP1300 25CM,"4,294.435",POSSAMAI
7890100001921,DESEMP.3CV TRIF 2P220/380V DSP1800 35CM,"7,695.271",POSSAMAI
00000000000039,DESEMP.3CV TRIF 2P220/380V DSP2100 40CM ,"9,071.936",POSSAMAI
7890100002874,DESEMP.POSSAMAI 2MX40CM 3CV DSI-2040,"7,076.339",POSSAMAI
7890100002881,DESENGR.POSSAMAI PDE-400 5CV,"10,786.400",POSSAMAI
00000000000068,EXAUSTOR INMES EF-200T 220V MONO,"2,707.792",INMES
7890100002430,EXAUSTOR INMES EF-200T 220V TRIF+1 TAMB.,"3,080.000",INMES
7890100002270,EXAUSTOR INMES EF-300T2 220TRIF+2 TAMB.,"3,490.000",INMES
00000000000052,EXAUSTOR INMES EF-500T2 C/2 TAMBORES 220V,"5,299.000",INMES
7890100002249,EXAUSTOR INMES EM-075A 110V MONO 60HZ PO,"2,099.000",INMES
7890100002492,EXAUSTOR INMES EM-075A 220V MONO 60HZ,"1,828.780",INMES
00000000000182,EXAUSTOR INMES EM-075A 220V TRIF 60HZ,"1,753.392",INMES
7890100002263,EXAUSTOR INMES EM-200T 220 TRI 01010434,"2,890.000",INMES
00000000000017,EXAUSTOR INMES EM-300T2 220V TRI 01010436,"4,290.000",INMES
7890100002508,EXAUSTOR INMES EM-500T2 220V+2 TAMBORES (USADO),"6,267.000",INMES
7890100000825,EXAUSTOR MOTOR 3CV TRIF 2P POSSAMAI ,"2,990.000",POSSAMAI
00000000000053,FILTRO INMES 60X100CM PERM.150,129.953,INMES
00000000000036,"FRESA MD 8,00X22,00X70,00MM  P/ PANTOGRAFO IP 100 INMES",449.985,INMES
7890100002256,FURAD.BANC.INMES IF6 220V P/DISP.MON,"3,190.000",INMES
00000000000208,FURAD.HORIZ.MAKSIWA FH.16 T REF. MANDRIL 5/8 MOTOR TRIF.,"6,890.000",MAKSIWA
00000000000012,FUSO DA COLA P/ COLETOR IC-1000 INMES,125.821,INMES
00000000000013,GUIA DO RETORNO DA COLA IC-1000 INMES,47.994,INMES
7890100002997,KIT CORTADOR IC-1000 INMES,198.000,INMES
00000000000287,KIT TERMOPAR INMES TIPO J 5X50MM,33.000,INMES
00000000000222,LATAO LIXO 200L,50.000,
7890100002898,LIXAD.DE DISCO VIMA LD-300 220V MONO,"1,054.000",VIMA
7890100002690,LIXAD.DISCO E FITA MAKSIWA LDF (T) C/MOTOR TRIF,"2,298.660",MAKSIWA
7890100002959,LIXAD.DISCO MAKSIWA LD300 C/MOTOR MONOF.,"1,590.000",MAKSIWA
7890100002379,LIXADEIRA VERRY 1500 MOT. 1CV,"2,790.900",VERRY
00000000000120,MADEIRA EUCALIPTO SECA BRUTA BICA,"1,050.000",MONFA
7890100002928,MAKSIPOWER 8 MAKSIWA LI 18V  109,"1,600.000",MAKSIWA
7890100000788,MAQ.S.FITA ST-1101 110V 50/60HZ 1PH,"2,641.050",STARRETT
00000000000219,MDF BC TX 2F 06MM DURATEX,109.900,DURATEX
7890100002416,MDF BC TX 2F 15MM,129.900,
00000000000112,MDF BC TX 2F 15MM DURATEX,136.900,DURATEX
7890100002423,MDF BC TX 2F 18MM,157.400,
00000000000113,MDF BC TX 2F 18MM DURATEX,165.900,DURATEX
00000000000166,MDF BC TX ULTRA 2F 06MM,109.900,DURATEX
00000000000167,MDF BC TX ULTRA 2F 18MM,189.000,DURATEX
00000000000230,MDF BC TX ULTRA PREMIUM 2F 06MM DURATEX,154.150,DURATEX
00000000000231,MDF BC TX ULTRA PREMIUM 2F 15MM DURATEX,216.900,DURATEX
00000000000224,MDF BC TX ULTRA PREMIUM 2F 18MM DURATEX,244.500,DURATEX
00000000000227,MDF CRU ULTRA PREMIUM 06MM,89.900,DURATEX
00000000000229,MDF CRU ULTRA PREMIUM 15MM,159.900,DURATEX
00000000000228,MDF CRU ULTRA PREMIUM 18MM,189.900,DURATEX
00000000000014,MESA DE ROLETE IMR-8 INMES,689.000,INMES
00000000000030,MESA DE ROLETE P/ COLADEIRA VERRY 23093  XX,297.880,VERRY
7890100003017,MORSA MECANICA INMES FF-320,289.060,INMES
00000000000056,PAINEL MDF BRANCO TX 2750X1830X40MM,859.000,BONARDI
00000000000057,PAINEL MDF CRU 2730X1830X30MM,489.000,DECORBRAS
00000000000022,PAINEL MDF CRU 2730X1830X40MM,619.000,DECORBRAS
00000000000023,PAINEL MDF CRU 2730X1830X50MM,659.900,DECORBRAS
00000000000054,PAINEL MDF CRU CANELATTO 2730X1830X40MM,551.820,MACOPA
7890100002317,PANTOGRAFO IP-100 220V TRIF 60HZ,"7,957.450",INMES
00000000000108,PECAS DE MAQUINAS VERRY (MOTOR 3VC),0.000,VERRY
00000000000020,PLAINA DESEMP.MAKSIWA DE 1800/4 1800 X 200MM TRIF,"6,990.000",MAKSIWA
7890100002683,PLAINA DESEMPEN.MAKSIWA DE 1200/150MM 3T C/MOT,"2,978.730",MAKSIWA
00000000000019,PLAINA DESENG.MAKSIWA PD400/3 400MM TRIF.,"14,450.000",MAKSIWA
00000000000101,REFILADORA BORDA MAKSIWA RBB 1000 220V,"2,990.000",MAKSIWA
7890100002812,RISC.INMES IC12030 120X22D,259.795,INMES
7890100002805,RISC.INMES RGT12022 120X12D+12D,549.339,INMES
00000000000210,SCA S. C. ALINHADEIRA S/ MOTOR,"6,774.960",MAKSIWA
7890100002522,SECCION.INMES IM-2900 220V 101C09322,"36,900.000",INMES
7890100002973,SERRA BANC.110V RODIZ.SC650I MAKSIWA,"3,099.000",MAKSIWA
7890100002768,SERRA BANCADA MAKSIWA PORT.SC600.IM 110V,982.688,MAKSIWA
7890100002782,SERRA CIRC.INMES FP10/PT 250X80,399.282,INMES
7890100002799,SERRA CIRC.INMES FP10/PT300X96,555.488,INMES
00000000000073,SERRA CIRC.INMES PRO FP10/PT300X96,499.000,INMES
00000000000025,SERRA CIRCULAR VERRY C. CIVIL 1000 C/MOTOR  XX,"3,117.030",VERRY
7890100002362,SERRA CIRCULAR VERRY C.CIVIL 700 SEM MOTOR  XX,"1,585.110",VERRY
7890100002607,SERRA CONST.CIVIL SCCC T MAKSIWA M.3CV,"3,138.300",MAKSIWA
00000000000032,SERRA ESQ. BANC. INMES IM-8200 110V,"2,299.168",INMES
00000000000106,SERRA ESQ.MAKSIWA 1900.I T MOT.TRIF 3CV BLACK,"7,790.000",MAKSIWA
7890100002621,SERRA ESQ.MAKSIWA 2000.I T MOT.3CV BRANCA,"6,244.690",MAKSIWA
00000000000107,SERRA ESQ.MAKSIWA 2900.I T MOT TRIF 3CV BLACK,"9,790.003",MAKSIWA
00000000000109,SERRA ESQ.MAKSIWA 3000 IR TORNADO 3CV BLACK,"12,590.000",MAKSIWA
7890100002638,SERRA ESQ.MAKSIWA 3000.I TORNADO 3CV BRANCA,"11,950.000",MAKSIWA
7890100002911,SERRA ESQ.MAKSIWA MK.100 IM 110V,799.000,MAKSIWA
7890100002645,SERRA ESQ.MAKSIWA TELESC.MK.400 IM 110V,"2,540.000",MAKSIWA
00000000000077,SERRA ESQ.MINIMAX GENIUS 1.20M 220V,"13,667.500",TECMATIC
7890100002119,SERRA ESQ.OMIL 2950 5VC C/RISC-0087,"9,041.070",OMIL
7890100002386,SERRA ESQ.OMIL INCL./RISC.5CV 2950,"15,520.318",OMIL
7890100002393,SERRA ESQ.OMIL INCL.5CV 2950,"14,659.580",OMIL
00000000000064,SERRA ESQ.PRECISAO 1.66M MINIMAX SC2 220V,"22,798.360",TECMATIC
7890100002140,"SERRA ESQ.VERRY ALFA E.INC.2,4M MOT.3CV  XX","8,370.440",VERRY
7890100002355,"SERRA ESQ.VERRY BETA E.INC.2,9M MOT.3CV  XX","8,299.000",VERRY
00000000000061,SERRA ESQ.VERRY DELTA 2900 E.INCL.3CV,"7,639.000",VERRY
7890100000917,SERRA ESQ.VERRY JUNIOR 2000 MOTOR 3CV,"5,990.000",VERRY
7890100002461,"SERRA ESQ.VERRY KOSMO E.INC.RISC 2,9M5CV  XX","9,900.000",VERRY
00000000000024,SERRA ESQ.VERRY OMEGA 2000 EIXO INCL 3CV TRIF  XX,"6,568.979",VERRY
00000000000062,"SERRA ESQ.VERRY PREMIUM 2,800-3CV","6,350.000",VERRY
7890100000870,"SERRA ESQ.VERRY PREMIUM 2,9M 3CV C/RISC.","8,949.000",VERRY
7890100000887,"SERRA ESQ.VERRY PREMIUM 2,9M MOT.3CV","7,436.170",VERRY
7890100000894,"SERRA ESQ.VERRY SUPREMA 2,4M MOTOR 3CV","6,170.220",VERRY
00000000000080,SERRA ESQ.VERRY TOPAZIO 2900 E.INCL.RISC.5CV TRIF,"9,980.000",VERRY
00000000000117,SERRA ESQ.VERRY TOPAZIO 3CV TRIF  XX,"9,760.000",VERRY
00000000000173,SERRA ESQ.VERRY VENUS 2M E.INC.3CV TRIF,"5,590.008",VERRY
00000000000058,SERRA ESQUADR.INMES FF-1900 380V TRIF 2011679,"23,900.000",INMES
00000000000105,SERRA ESQUADR.INMES FF-300 220V TRIF 1010726,"19,990.000",INMES
00000000000059,SERRA ESQUADR.INMES FF-325 380V SEMI-NOVA,"21,000.000",INMES
00000000000018,SERRA ESQUADR.INMES FF-325 380V TRIF 2011701 ,"24,900.000",INMES
00000000000204,SERRA ESQUADR.INMES FF-325 PLUS 220/380V TRIF 2012826,"28,990.000",INMES
7890100002300,SERRA ESQUADR.INMES FF320 380V 02011191,"24,900.061",INMES
7890100002614,SERRA ESQUADR.INMES FF3200 220V TRIF,"41,900.000",INMES
7890100000795,"SERRA FITA BI-METAL 06-10 1,47M 1101-1",53.520,STARRETT
7890100000801,"SERRA FITA BI-METAL 10-14 1,47M 1101-2",53.520,STARRETT
7890100000818,"SERRA FITA BI-METAL 14/18 1,47M 1101-3",53.520,STARRETT
00000000000021,SERRA FITA MAKSIWA SF.60 (T) VOL.600MM TRIF,"8,480.000",MAKSIWA
7890100002515,SERRA IM-30 AL 220V TRIF C/LAMINA,"10,531.910",INMES
00000000000189,TUPIA MAKSIWA TU.800 T COM MOTOR TRIF.,"6,990.000",MAKSIWA
7890100002652,TUPIA MAKSIWA TUJ.600 T COM MOTOR,"5,249.900",MAKSIWA
7890100002935,TUPIA REFILADORA MAKSIWA TU 600 BD C/MOT,"3,790.000",MAKSIWA
00000000000174,Z MADEIRA EUCALIPTO SERRADA BRUTA SECA AO TEMPO TIPO B,"1,490.000",MONFA
